epoch, energy, energy_std, energy_window, rel_error, time
294,-4.00386,0.12984,-4.00152,0.00475,0.00091,1.56664
295,-4.00309,0.12148,-4.00146,0.00470,0.00110,1.61258
296,-4.00144,0.12216,-4.00144,0.00470,0.00151,1.59942
297,-3.99230,0.12235,-4.00121,0.00486,0.00379,1.58068
298,-3.99770,0.12087,-4.00111,0.00488,0.00245,1.56428
299,-4.01031,0.12070,-4.00143,0.00496,0.00070,1.59346
300,-4.00617,0.12150,-4.00164,0.00493,0.00033,1.58054
301,-4.00449,0.11817,-4.00161,0.00490,0.00075,1.54061
302,-4.00304,0.11030,-4.00162,0.00490,0.00111,1.56848
303,-3.99996,0.11073,-4.00177,0.00471,0.00188,1.55407
304,-3.99915,0.11482,-4.00182,0.00467,0.00208,1.55250
305,-3.99793,0.11357,-4.00172,0.00470,0.00239,1.58277
306,-4.00740,0.11400,-4.00200,0.00462,0.00002,1.56608
307,-3.99763,0.10702,-4.00198,0.00463,0.00246,1.55888
308,-4.00917,0.11130,-4.00210,0.00474,0.00042,1.59738
309,-4.00302,0.11197,-4.00215,0.00473,0.00112,1.56523
310,-4.00291,0.10093,-4.00225,0.00470,0.00114,1.60695
311,-4.01097,0.10686,-4.00261,0.00467,0.00087,1.59351
312,-4.00519,0.10866,-4.00269,0.00468,0.00058,1.56996
313,-4.00186,0.10500,-4.00257,0.00462,0.00141,1.56923
314,-4.00513,0.10376,-4.00270,0.00461,0.00059,1.58169
315,-4.00721,0.10344,-4.00286,0.00462,0.00007,1.61492
316,-4.00190,0.10034,-4.00287,0.00462,0.00140,1.59398
317,-4.00813,0.10516,-4.00306,0.00463,0.00016,1.60284
318,-4.00243,0.10637,-4.00300,0.00462,0.00127,1.58938
319,-4.00642,0.10946,-4.00299,0.00461,0.00027,1.59668
320,-3.99859,0.10020,-4.00287,0.00465,0.00222,1.60735
321,-4.00075,0.10120,-4.00283,0.00465,0.00168,1.60543
322,-4.00298,0.10025,-4.00278,0.00464,0.00113,1.57220
323,-3.99810,0.09737,-4.00268,0.00468,0.00235,1.58970
324,-4.00254,0.09583,-4.00260,0.00465,0.00124,1.63063
325,-4.01063,0.10551,-4.00277,0.00478,0.00078,1.57752
326,-4.00659,0.10274,-4.00277,0.00478,0.00023,1.57345
327,-4.00961,0.11000,-4.00275,0.00477,0.00053,1.57347
328,-4.00275,0.10643,-4.00285,0.00472,0.00119,1.57430
329,-4.00329,0.10227,-4.00271,0.00460,0.00105,1.65076
330,-4.00757,0.10328,-4.00287,0.00462,0.00002,1.55063
331,-4.00000,0.10041,-4.00290,0.00460,0.00187,1.58389
332,-4.00678,0.10237,-4.00312,0.00452,0.00018,1.55854
333,-4.01042,0.10985,-4.00317,0.00458,0.00073,1.57185
334,-4.00690,0.10214,-4.00333,0.00457,0.00015,1.56024
335,-4.00744,0.10344,-4.00352,0.00455,0.00002,1.56243
336,-4.00345,0.10009,-4.00377,0.00417,0.00101,1.54676
337,-3.99940,0.09583,-4.00373,0.00420,0.00202,1.58433
338,-4.00222,0.10032,-4.00370,0.00421,0.00132,1.58493
339,-4.00729,0.10108,-4.00383,0.00422,0.00005,1.56381
340,-4.00556,0.09963,-4.00380,0.00420,0.00048,1.57634
341,-4.00917,0.09986,-4.00377,0.00417,0.00042,1.57782
