Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J1,J2,Length
7,-9.51972,0.00747,0.04133,539,16.94943,-9.52896,0.04133,-9.54016,0.04717,-0.31067,-0.32267,0.014,0.014,0.99671,0.99671,-0.29067,0.29067,0,0.00434,-1,-4,4
8,-9.52355,0.0073,0.04456,525,16.88931,-9.53415,0.04456,-9.54349,0.19247,-0.30333,-0.31,0.01775,0.01975,0.99569,0.99569,-0.29867,0.29867,0,0.00467,-1,-4,4
9,-9.52745,0.00695,0.02733,676,20.36468,-9.53655,0.02733,-9.53972,0.03004,-0.30667,-0.312,0.0145,0.0145,0.99615,0.99615,-0.288,0.288,0,0.00287,-1,-4,4
0,-9.33617,0.00857,0.0341,450,13.96264,-9.34542,0.0341,-9.34231,0.15233,-0.302,-0.31667,0.01925,0.01525,0.99674,0.99674,-0.28333,0.28333,0,0.00365,-1,-3.9,4
1,-9.3404,0.00636,0.04445,587,18.29119,-9.35196,0.04445,-9.35327,0.05639,-0.30067,-0.31133,0.01675,0.01675,0.99617,0.99617,-0.28467,0.28467,0,0.00475,-1,-3.9,4
2,-9.34176,0.00835,0.03939,497,15.87981,-9.35063,0.03939,-9.35462,0.11288,-0.304,-0.30667,0.019,0.02,0.9978,0.9978,-0.29,0.29,0,0.00421,-1,-3.9,4
3,-9.33971,0.00824,0.01845,541,17.35313,-9.34901,0.01845,-9.35722,0.16736,-0.30133,-0.312,0.018,0.019,0.99473,0.99473,-0.28133,0.28133,0,0.00197,-1,-3.9,4
4,-9.33961,0.00821,0.02616,532,17.61567,-9.34921,0.02616,-9.34688,0.14643,-0.31467,-0.30533,0.0195,0.0175,0.99524,0.99524,-0.284,0.284,0,0.0028,-1,-3.9,4
5,-9.33725,0.00913,0.03426,817,26.16166,-9.34702,0.03426,-9.34581,0.13321,-0.30133,-0.31733,0.021,0.019,0.99456,0.99456,-0.28133,0.28133,0,0.00367,-1,-3.9,4
6,-9.33379,0.00801,0.0429,573,18.4457,-9.34357,0.0429,-9.35466,0.13444,-0.30933,-0.31733,0.0165,0.0185,0.99362,0.99362,-0.282,0.282,0,0.00459,-1,-3.9,4
