Num,Energy_Window,Energy_Std_Window,Variance,Epoch,Time,Energy,Energy_Std,Energy-Mean,Energy-Std,Cz-Ferro,Cz-Antiferro,Mz2-Ferro,Mz2-Antiferro,Mx-Ferro,Mx-Antiferro,Nz-Ferro,Nz-Antiferro,Net_Overlap,Std_Mean,J,Length
6,-13.82681,0.01176,0.06355,489,13.90937,-13.84067,0.06355,-13.82533,0.47707,-0.314,0.958,0.00825,0.97725,0.99362,0.99362,-0.976,0.976,0,0.00459,-4.5,4
7,-13.83084,0.01094,0.06677,448,12.8184,-13.84218,0.06677,-13.80861,0.69294,-0.31133,0.95,0.01175,0.96875,0.99671,0.99671,-0.964,0.964,0,0.00482,-4.5,4
8,-13.82633,0.01319,0.05313,627,17.55048,-13.83695,0.05313,-13.80495,0.61176,-0.316,0.96,0.008,0.973,0.99569,0.99569,-0.96933,0.96933,0,0.00384,-4.5,4
9,-13.82611,0.01308,0.0593,344,10.02612,-13.84192,0.0593,-13.82815,0.49334,-0.31733,0.95867,0.0085,0.9755,0.99615,0.99615,-0.97267,0.97267,0,0.00428,-4.5,4
0,-13.53636,0.01306,0.04897,404,11.61896,-13.54722,0.04897,-13.55555,0.13595,-0.31,0.95,0.00925,0.97025,0.99674,0.99674,-0.97133,0.97133,0,0.00362,-4.4,4
1,-13.5326,0.01124,0.05658,404,11.67468,-13.54851,0.05658,-13.53316,0.32605,-0.31733,0.96,0.0085,0.9725,0.99617,0.99617,-0.97,0.97,0,0.00418,-4.4,4
2,-13.53698,0.01046,0.04943,683,19.4364,-13.54535,0.04943,-13.5325,0.44675,-0.31667,0.96333,0.00875,0.97575,0.9978,0.9978,-0.97333,0.97333,0,0.00365,-4.4,4
3,-13.53221,0.01488,0.06153,463,13.52291,-13.54651,0.06153,-13.53374,0.33775,-0.322,0.97,0.00675,0.97975,0.99473,0.99473,-0.976,0.976,0,0.00454,-4.4,4
4,-13.53359,0.01406,0.04734,539,15.95046,-13.54932,0.04734,-13.5356,0.31995,-0.31267,0.95133,0.00975,0.96875,0.99524,0.99524,-0.96533,0.96533,0,0.00349,-4.4,4
5,-13.53422,0.01136,0.06358,413,11.92912,-13.54887,0.06358,-13.54862,0.13151,-0.312,0.95733,0.01,0.97,0.99456,0.99456,-0.96733,0.96733,0,0.00469,-4.4,4
6,-13.53364,0.01305,0.06716,508,14.54681,-13.55064,0.06716,-13.53491,0.47208,-0.31267,0.94467,0.01025,0.97125,0.99362,0.99362,-0.96867,0.96867,0,0.00496,-4.4,4
7,-13.53786,0.01113,0.06567,448,12.956,-13.54994,0.06567,-13.51725,0.66738,-0.31067,0.948,0.012,0.968,0.99671,0.99671,-0.96333,0.96333,0,0.00485,-4.4,4
8,-13.5342,0.01339,0.04669,627,18.08778,-13.54499,0.04669,-13.51365,0.59423,-0.31533,0.95933,0.00825,0.97225,0.99569,0.99569,-0.96867,0.96867,0,0.00345,-4.4,4
9,-13.53258,0.01333,0.06194,344,9.84721,-13.54955,0.06194,-13.53759,0.47809,-0.31467,0.956,0.0095,0.9725,0.99615,0.99615,-0.96933,0.96933,0,0.00457,-4.4,4
0,-13.24434,0.0131,0.04795,404,11.75154,-13.25617,0.04795,-13.25618,0.26777,-0.31,0.94867,0.00925,0.96925,0.99674,0.99674,-0.97,0.97,0,0.00362,-4.3,4
1,-13.24185,0.01006,0.05323,404,11.6772,-13.2568,0.05323,-13.24162,0.31539,-0.31533,0.95667,0.00925,0.97025,0.99617,0.99617,-0.968,0.968,0,0.00402,-4.3,4
2,-13.2442,0.01114,0.06037,686,19.63065,-13.25414,0.06037,-13.25005,0.20292,-0.31933,0.954,0.00875,0.97275,0.9978,0.9978,-0.968,0.968,0,0.00456,-4.3,4
3,-13.24491,0.00948,0.04775,579,16.79402,-13.25541,0.04775,-13.24133,0.43537,-0.314,0.962,0.00875,0.97575,0.99473,0.99473,-0.97267,0.97267,0,0.0036,-4.3,4
4,-13.24193,0.014,0.04571,539,15.76289,-13.25778,0.04571,-13.24403,0.30872,-0.312,0.94933,0.01,0.968,0.99524,0.99524,-0.96467,0.96467,0,0.00345,-4.3,4
5,-13.24659,0.00983,0.04771,531,15.28429,-13.25552,0.04771,-13.25748,0.0835,-0.31733,0.964,0.007,0.978,0.99456,0.99456,-0.978,0.978,0,0.0036,-4.3,4
6,-13.24084,0.01411,0.06487,508,14.32449,-13.25868,0.06487,-13.23636,0.51168,-0.312,0.94133,0.0105,0.9695,0.99362,0.99362,-0.96667,0.96667,0,0.00489,-4.3,4
7,-13.24391,0.01259,0.05967,581,16.6593,-13.25569,0.05967,-13.24761,0.20778,-0.31667,0.96467,0.00725,0.97725,0.99671,0.99671,-0.97733,0.97733,0,0.0045,-4.3,4
8,-13.24294,0.0127,0.03838,627,17.80958,-13.2531,0.03838,-13.22389,0.56344,-0.31267,0.95267,0.00925,0.96925,0.99569,0.99569,-0.966,0.966,0,0.0029,-4.3,4
9,-13.24169,0.01262,0.05453,344,10.02406,-13.25775,0.05453,-13.24605,0.46482,-0.314,0.95533,0.00975,0.97175,0.99615,0.99615,-0.96867,0.96867,0,0.00411,-4.3,4
0,-12.95139,0.01273,0.05106,404,11.61636,-12.96415,0.05106,-12.96508,0.26282,-0.31,0.94867,0.00925,0.96925,0.99674,0.99674,-0.97,0.97,0,0.00394,-4.2,4
1,-12.95534,0.00971,0.05121,463,13.15602,-12.95907,0.05121,-12.95685,0.22084,-0.31933,0.95933,0.00725,0.97725,0.99617,0.99617,-0.974,0.974,0,0.00395,-4.2,4
2,-12.95107,0.01155,0.06359,488,14.08472,-12.96379,0.06359,-12.95607,0.31848,-0.30933,0.94667,0.01,0.967,0.9978,0.9978,-0.96467,0.96467,0,0.00491,-4.2,4
3,-12.94908,0.01406,0.06139,405,11.52516,-12.96413,0.06139,-12.95496,0.30414,-0.31533,0.962,0.00825,0.97525,0.99473,0.99473,-0.97267,0.97267,0,0.00474,-4.2,4
4,-12.95022,0.01427,0.04526,539,15.62506,-12.96634,0.04526,-12.95228,0.31535,-0.31067,0.94533,0.011,0.964,0.99524,0.99524,-0.96067,0.96067,0,0.00349,-4.2,4
5,-12.95542,0.00947,0.05899,531,15.45892,-12.96562,0.05899,-12.96654,0.07835,-0.31533,0.962,0.00775,0.97575,0.99456,0.99456,-0.976,0.976,0,0.00455,-4.2,4
6,-12.95123,0.01265,0.06218,528,15.12801,-12.96402,0.06218,-12.93484,0.59571,-0.31333,0.956,0.009,0.972,0.99362,0.99362,-0.97,0.97,0,0.0048,-4.2,4
7,-12.95204,0.01036,0.05865,571,16.49492,-12.96148,0.05865,-12.96312,0.09751,-0.31867,0.96,0.007,0.978,0.99671,0.99671,-0.978,0.978,0,0.00452,-4.2,4
8,-12.95287,0.01148,0.04836,690,19.96659,-12.96113,0.04836,-12.95996,0.41622,-0.30533,0.93867,0.013,0.962,0.99569,0.99569,-0.95867,0.95867,0,0.00373,-4.2,4
9,-12.94951,0.01575,0.03747,346,10.17962,-12.96234,0.03747,-12.94524,0.38447,-0.32,0.95333,0.0075,0.9735,0.99615,0.99615,-0.97133,0.97133,0,0.00289,-4.2,4
0,-12.66015,0.01263,0.04809,404,11.70928,-12.67334,0.04809,-12.67424,0.25625,-0.31,0.94867,0.00925,0.96925,0.99674,0.99674,-0.97,0.97,0,0.00379,-4.1,4
1,-12.66445,0.0097,0.05062,463,13.31418,-12.66829,0.05062,-12.6601,0.27584,-0.31867,0.95733,0.0075,0.9755,0.99617,0.99617,-0.972,0.972,0,0.004,-4.1,4
2,-12.66312,0.00917,0.02662,705,20.60117,-12.66932,0.02662,-12.67805,0.14298,-0.31667,0.95667,0.00825,0.97425,0.9978,0.9978,-0.97267,0.97267,0,0.0021,-4.1,4
3,-12.66255,0.00823,0.04467,580,16.8927,-12.67107,0.04467,-12.63996,0.60181,-0.318,0.962,0.00875,0.97675,0.99473,0.99473,-0.972,0.972,0,0.00353,-4.1,4
4,-12.66177,0.01141,0.06007,655,18.85397,-12.67115,0.06007,-12.64489,0.51364,-0.31733,0.968,0.0065,0.9805,0.99524,0.99524,-0.98,0.98,0,0.00474,-4.1,4
5,-12.66264,0.00939,0.04455,603,17.27854,-12.67215,0.04455,-12.67269,0.04591,-0.31533,0.966,0.00875,0.97375,0.99456,0.99456,-0.96933,0.96933,0,0.00352,-4.1,4
6,-12.66357,0.01138,0.05908,578,16.56707,-12.67464,0.05908,-12.68137,0.2026,-0.31467,0.95467,0.0105,0.9655,0.99362,0.99362,-0.96067,0.96067,0,0.00466,-4.1,4
7,-12.66114,0.01039,0.05064,571,16.5344,-12.67025,0.05064,-12.67279,0.09644,-0.31733,0.95867,0.0075,0.9765,0.99671,0.99671,-0.97667,0.97667,0,0.004,-4.1,4
8,-12.66168,0.01076,0.05919,689,19.69758,-12.67027,0.05919,-12.66594,0.39548,-0.31267,0.95267,0.00975,0.97075,0.99569,0.99569,-0.96867,0.96867,0,0.00467,-4.1,4
9,-12.6578,0.01657,0.0518,346,10.05701,-12.66976,0.0518,-12.65482,0.37593,-0.32,0.95333,0.0075,0.9735,0.99615,0.99615,-0.97133,0.97133,0,0.00409,-4.1,4
0,-12.36978,0.01163,0.05397,644,18.47726,-12.38094,0.05397,-12.3885,0.18574,-0.316,0.956,0.0075,0.9745,0.99674,0.99674,-0.97533,0.97533,0,0.00436,-4,4
1,-12.37368,0.0099,0.0484,463,13.26509,-12.37844,0.0484,-12.37178,0.2687,-0.31933,0.95667,0.00775,0.97475,0.99617,0.99617,-0.97067,0.97067,0,0.00391,-4,4
2,-12.37039,0.01202,0.05997,627,17.8569,-12.38112,0.05997,-12.38066,0.05745,-0.314,0.95933,0.00875,0.97375,0.9978,0.9978,-0.972,0.972,0,0.00484,-4,4
3,-12.37203,0.00808,0.04284,580,16.59724,-12.38022,0.04284,-12.3503,0.58131,-0.318,0.962,0.00875,0.97675,0.99473,0.99473,-0.972,0.972,0,0.00346,-4,4
4,-12.36921,0.01181,0.0417,645,18.61959,-12.3814,0.0417,-12.35301,0.47926,-0.31,0.954,0.01075,0.96675,0.99524,0.99524,-0.96133,0.96133,0,0.00337,-4,4
5,-12.37234,0.00895,0.03909,603,17.36456,-12.3814,0.03909,-12.37781,0.15714,-0.31267,0.958,0.00975,0.96975,0.99456,0.99456,-0.96533,0.96533,0,0.00316,-4,4
